content,is_english
👍 good,True
very nice,True
Is this even an app???????,True
Good,True
VERY VERY GOOD,True
This app is supper easy to use and less time consuming. and I liked the food also. I truly recommend the app.,True
It was my first purchase from this app and I got a 40% discount on my first purchase. The app service was so good and fabulous food. They didn't took much time for delivery. And by eating the food I can say the food was freshly baked. Their cakes are awesome. I'm very satisfied and I myself highly recommend this to all.,True
"Excellent app service; decent but not excessively big menu. Overall, the food was of extremely high quality. They can make an outstanding sandwich, and their cakes are excellent. The costs were fair. Strongly advised App.",True
This App offers wonderful service and delicious food. One of the bakeries in town that I like most. Both the pricing and the speed of service were good. Very strongly advised.,True
User friendly. Ordering food is very convenient.,True
This apps is very easy to order. Thanks coopers ICT Team for building like this APPS. It’s very helpful.,True
The app is good but their are some issues which need to improve. But a good initiative from cooper's.,True
"It is good to see such a quality food serving brand Cooper's in this platform. Had good experience with the deliveries; however, would suggest to upgrade the app to make it more user friendly.",True
"It's really helpful in our busy life, fresh food, excellent service and employees behavior, that's why I love Cooper's❤️",True
Love this app! Ordering is so easy and the delivery is always on time,True
"Overall, I would highly recommend COOPER'S BAKERY app to anyone looking for a top-notch bakery experience. It's a must-have for anyone who loves delicious baked goods and outstanding customer service!",True
"Products can be ordered very easily through this app, and they provide service with great care.",True
"I highly recommend this app. From start to finish, the app was easy to use and navigate.",True
The app is easy to navigate. I am very satisfied with the service. They delivered the product very fast and food was fresh and tasty. I will order again. Highly recommend. As a cake lover I have always liked cooper's. Now I can easily order whenever I crave for cake 😍,True
App is good. Smooth and bug free. Good experience.,True
I like it,True
Very impressive 👍,True
Easy To use Good,True
Very good,True
This app is not working properly. Full of bugs I guess And most importantly the helpline number you provided on your app is always busy Not a good app for communicating or making orders,True
Taste is good but the price is beyond middle class's buying capacity 👎,True
No discount offer,True
Really good,True
Very Good Initiative from COOPER'S,True
Good,True
In the app there is showing 40% discount will be applied for the 1st order. But there is no discount during checkout! Fraud seller.,True
The app doesn't work properly at all,True
Very good initiative from the Cooper's.,True
Needs a whole lot of improvement,True
This is a very nice apps to buy cooper's product and get home delivery,True
I love my company very much..One of the best Bakery company...,True
