app,content,cleaned_text,theme,subtheme,emotion,emotion_confidence
pizzahut,Good 👍,Good,Food Quality & Availability,Good Food,neutral,0.49310538172721863
pizzahut,I didn't order yet but the pizzas are very good,I didn t order yet but the pizzas are very good,Food Quality & Availability,Good Food,joy,0.6736831068992615
pizzahut,I'm unable to go through the otp verification. It seems the app is taking unnecessary time and then saying the validity time expired.,I m unable to go through the otp verification It seems the app is taking unnecessary time and then saying the validity time expired,App Usability & UX,Beautiful App Design,sadness,0.8838630318641663
pizzahut,Disgusting customer service,Disgusting customer service,Customer Service,Ineffective Helpline,disgust,0.9824009537696838
pizzahut,worst customer service ever,worst customer service ever,Customer Service,Ineffective Helpline,disgust,0.8350031971931458
pizzahut,their service is worst.after two hours of order acceptance I called their wari outlet to check about my order.they said they got the order just 22 seconds ago.What a pity!! also said they can't deliver to my location although the app accepted my order on that location.they forcefully cancelled my order.,their service is worst after two hours of order acceptance I called their wari outlet to check about my order they said they got the order just 22 seconds ago What a pity!! also said they can t deliver to my location although the app accepted my order on that location they forcefully cancelled my order,App Usability & UX,Beautiful App Design,anger,0.6143738031387329
pizzahut,the app ui is really bad and it doesn't accept Bata coupons which was supposed to be used in this app and moreover it delivers to very few locations. overall not a good user experience,the app ui is really bad and it doesn t accept Bata coupons which was supposed to be used in this app and moreover it delivers to very few locations overall not a good user experience,Delivery Service,No Live Tracking,sadness,0.8898847699165344
pizzahut,Their food is great!,Their food is great!,Food Quality & Availability,Good Food,joy,0.8757789731025696
pizzahut,One of the most third class apps there is in the country! Food is also highly expensive comparing to other delicious pizza services! I'm never ordering a single slice from there ever again 👎,One of the most third class apps there is in the country! Food is also highly expensive comparing to other delicious pizza services! I m never ordering a single slice from there ever again,Food Quality & Availability,Food or Restaurant Unavailable,surprise,0.6181633472442627
pizzahut,Would be nice if you guys let us add more details for our addresses so it's easier and seamless for the delivery guys to find customers,Would be nice if you guys let us add more details for our addresses so it s easier and seamless for the delivery guys to find customers,Delivery Service,Quick Delivery,neutral,0.5874121189117432
pizzahut,Why is this app not working anymore? It's always stuck and says please wait .. I can never enter the app . Please fix this,Why is this app not working anymore? It s always stuck and says please wait I can never enter the app Please fix this,App Usability & UX,Beautiful App Design,sadness,0.634145200252533
pizzahut,The Pizza is good,The Pizza is good,Food Quality & Availability,Good Food,joy,0.6210024952888489
pizzahut,They serve the worst food. Total waste of money. They were showing the food was delivered almost 30mins before delivering the food.,They serve the worst food Total waste of money They were showing the food was delivered almost 30mins before delivering the food,Food Quality & Availability,Food or Restaurant Unavailable,disgust,0.9451975226402283
pizzahut,Worst app ever. They don't even deliver in my place. Wonder if they even deliver food. This app should not exist if someone has to go to the store to eat their pizza.,Worst app ever They don t even deliver in my place Wonder if they even deliver food This app should not exist if someone has to go to the store to eat their pizza,Food Quality & Availability,Food or Restaurant Unavailable,disgust,0.6238669157028198
pizzahut,Good food,Good food,Food Quality & Availability,Good Food,neutral,0.6070331335067749
pizzahut,Very bad dominoes is better option,Very bad dominoes is better option,Delivery Service,No Live Tracking,disgust,0.6051836609840393
pizzahut,Too slow but taste is good,Too slow but taste is good,Food Quality & Availability,Good Food,neutral,0.755703330039978
pizzahut,This app is most useful for your Daily routine.,This app is most useful for your Daily routine,App Usability & UX,Beautiful App Design,neutral,0.890399158000946
pizzahut,Very Good,Very Good,Food Quality & Availability,Good Food,neutral,0.6275999546051025
pizzahut,Needs some genuine improvement.,Needs some genuine improvement,Trust & Ethics,Mistrust in Transactions,neutral,0.8208680152893066
pizzahut,"Amazing customer service, considerate staffs. A lot of options and overall great. Very satisfied with the service they provide.",Amazing customer service considerate staffs A lot of options and overall great Very satisfied with the service they provide,Customer Service,Unhelpful Staff,joy,0.9214799404144287
pizzahut,Nice work for giving supports. Thanks.,Nice work for giving supports Thanks,Food Quality & Availability,Food or Restaurant Unavailable,joy,0.5465011596679688
pizzahut,Good food,Good food,Food Quality & Availability,Good Food,neutral,0.6070331335067749
pizzahut,I am satisfied with your work.,I am satisfied with your work,Food Quality & Availability,Food or Restaurant Unavailable,joy,0.8723793625831604
pizzahut,Great pizza and first delivery 🥰😂,Great pizza and first delivery,Delivery Service,Quick Delivery,joy,0.8217530250549316
pizzahut,Great pizza and fast delivery. Loved it,Great pizza and fast delivery Loved it,Delivery Service,Quick Delivery,joy,0.9329994916915894
pizzahut,Good Service 👍,Good Service,Food Quality & Availability,Good Food,neutral,0.8750281929969788
pizzahut,GOOD,GOOD,Food Quality & Availability,Good Food,neutral,0.9563230872154236
pizzahut,Not good diarrhea inducing (also saw an ad saying a coupon for free small pizza didn't work),Not good diarrhea inducing also saw an ad saying a coupon for free small pizza didn t work,Delivery Service,No Live Tracking,disgust,0.5790092945098877
pizzahut,"Pizza hut, Basabo is the very good one .",Pizza hut Basabo is the very good one,Food Quality & Availability,Good Food,neutral,0.6075560450553894
pizzahut,Fake marketing policy they fool people,Fake marketing policy they fool people,Pricing & Value,Fake Discounts,neutral,0.44821345806121826
pizzahut,Very poor pizza. Took too much time to deliver and got cold pizza. Dominos is far better than this. Waste of money and time.,Very poor pizza Took too much time to deliver and got cold pizza Dominos is far better than this Waste of money and time,Delivery Service,No Live Tracking,sadness,0.6009540557861328
pizzahut,Poor service. Not satisfied,Poor service Not satisfied,Delivery Service,No Live Tracking,sadness,0.8375542759895325
pizzahut,They deliver at very limited places...,They deliver at very limited places,Delivery Service,No Live Tracking,neutral,0.8947041034698486
pizzahut,you should deliver in nakhalpara,you should deliver in nakhalpara,Delivery Service,No Live Tracking,neutral,0.9419330358505249
pizzahut,No invoice sent in the email or shown in the app after making a order. Please try to follow your competitor's (Domino's) app atleast !!,No invoice sent in the email or shown in the app after making a order Please try to follow your competitor s Domino s app atleast !!,App Usability & UX,Beautiful App Design,neutral,0.6028222441673279
pizzahut,So poor. They have no live tracking and i don't know when my order will be delivered by this app.,So poor They have no live tracking and i don t know when my order will be delivered by this app,Delivery Service,No Live Tracking,sadness,0.8038586378097534
pizzahut,Third class User experience in this app,Third class User experience in this app,App Usability & UX,Beautiful App Design,neutral,0.9104321599006653
pizzahut,One Of the best Pizza selling app.........🥰😍🥰😍🥰😍,One Of the best Pizza selling app,App Usability & UX,Beautiful App Design,surprise,0.3631313145160675
pizzahut,Very poor service. Ordered from the app and waited half an hour but no update. When I call ed the store they said their riders are o. Holiday and omno one is checking the online orders. Not recommend at all!!!,Very poor service Ordered from the app and waited half an hour but no update When I call ed the store they said their riders are o Holiday and omno one is checking the online orders Not recommend at all!!!,App Usability & UX,Beautiful App Design,sadness,0.7169072031974792
pizzahut,For some reason I have to put my address in every time I order. That's unfathomably annoying. Plus its unstability knows no bounds.,For some reason I have to put my address in every time I order That s unfathomably annoying Plus its unstability knows no bounds,Delivery Service,No Live Tracking,surprise,0.36596131324768066
