content,is_english
Is this even an app???????,True
This app is not working properly. Full of bugs I guess And most importantly the helpline number you provided on your app is always busy Not a good app for communicating or making orders,True
In the app there is showing 40% discount will be applied for the 1st order. But there is no discount during checkout! Fraud seller.,True
The app doesn't work properly at all,True
i have been trying to open my account for so long but they keep saying i have to have my password '8-15' words but i am doing exactly that. its still not opening. so bad i am very disappointed,True
very bad app. there is 25% flat discount in a restaurant. but while ordering it is not applying it. there is no option of see the ratings and the reviews of others. 👎👎👎,True
I had 5 stars review given here till they refused to compensate for a wrong delivery with an excuse saying I got food that had 90 taka more price than the food I ordered and didn't care about the wrong delivery. Like I ordered food that I want to eat not something to resell so money is not everything here.,True
Not update location. Very bad app,True
"""foodi"" notification sound is so annoying. My humble request to remove the sound.",True
I don’t know what's the problem in this app. I can't enter the app & can't order food. I have no network problem but the app always has problem. please work on it,True
"can't open the app only stuck in the location interface, already have a order running but can't figure out what is happening, can't see any updates of my order 🙄",True
"worst food delivery app, always problem with location,",True
No voucher for new users. nothing fancy to be encourage and make the first order,True
LoL this stupid app cannot even calculate food price why did u even make this so clumsy🤣,True
"Took me only 1 order to uninstall this app, must be some kinda record! Just stick to the big boys, folks. This app is just a cheap rip-off of FoodPanda anyway, only with a lot more lagging. They've copied everything from FP, down to the minute UI details. But they couldn't copy the class that is customer service.",True
Very bad,True
Disgusting experience. Availed 100tk off on EBL Card on Kacchi Dine full plate. But they delivered half plate with 2 piece mutton on a full plate box. Utterly disappointed.,True
"You order food from this platform, and items are missing when you get them. Universal Truth.",True
After the latest update (with the introduction of the home screen pop up offers) the app feels super slow and sluggish.,True
"They can,t come in our house. they said us to come 1 km to took the parcel",True
"you have the worst customer service representative, Mr.shihab, Mr. Ansari, Mr. Miraj, Mr. bappy, your supervisor, all are useless. did not respond to my simple request after making several calls and taking to several representative. did not provide me refund...this is the worst service in my entire online foorld order. food panda and pathao are much better",True
very poor service,True
worst customer support,True
take too much time to load,True
very bad customer support dont use,True
"Worst delivery service ever. My order came 30 mins late even though the restaurant was only 200 meters away. Riders are careless, support is useless. Save your time and money — avoid Foodi at all costs!",True
"Never order from this app and if you order don't take the discount. They will give you Smell and spoilage food. Then if you eat those things, your body will get sick. So don't downlaod this app.",True
"Totally disappointed for there delivery service. if you have 2-3 hours time for receve the parcel, then its better option for you. only one impressive things is they can cover long area..",True
Their service is very bad and their policy is not good. Everyone should read the policy. They cannot solve any problem.,True
annoying notification sound.,True
totally worthless help center,True
There delivery system is too slow. worst experience.,True
no option for deleting my account,True
Bad 😢 dissatisfied,True
Service is not available all over Dhaka. Even rider charge more than the selected charge 😑😑,True
"the payment option is currently not working. I tried logging on and order from a restaurant, but there was no cash on delivery option.",True
