review,predicted_theme,confidence
রেফার কোড কত হবে,Accessibility,0.24
"এটাতে সমস্যা একটাই লগ ইন সমস্যা ,একবার unstalll করে দিলে পরে আর ওই নম্বরে লগ ইন করা যায় না ফালতু সার্ভিস",User Experience,0.25
বালের login ই হচ্ছে না। Developers কী বাল ছেড়ে কাজ না করে।,User Experience,0.27
I am trying to install but fail several times,Technical Issues,0.32
ব্যাপক সার্ভিস।,Technical Issues,0.26
"I ordered Small Meatball Pizza from Proyojon Kushtia app. 😍 💥 Today’s offer was Buy 1 Get 1 Free — totally worth it! 🥳 ✅ Quality: Excellent 🔝 ✅ Delivery: On time ⏰ ✅ Rider behavior: Super friendly 💯 The pizza was fresh, delicious, and just perfect! 😋 Highly recommend! 👍",Functionality and Recognition,0.27
"Awesome app, I love it.",Accessibility,0.32
better than foodpanda😊,Functionality and Recognition,0.23
"This is a very helpful app. I get very fast food delivery through this app. In a word, it is very good.",User Experience,0.25
most Effective app in this sector,Accessibility,0.25
This app is so good... very easy and fast to get food.. best food delivery app in Jhenaidah,User Experience,0.26
very good service 😊,Accessibility,0.24
best food delivery apps in Jhenaidah.,User Experience,0.29
Limited area availability. It sucks 👎.,User Experience,0.28
❤️❤️❤️❤️❤️😋😋😋Rimon,Functionality and Recognition,0.27
"খুবই বাজে এক্সপেরিইয়েন্স, খাবার অর্ডার করছি ৩০ মিনিট আগে কিন্তু রাইডার এর লোকেশন অন্যজয়গাই continously দেখায়, ৩০ মিনিট যখন হয়ে গেলো তখন আমি রাইডার কে মেসেজ দিলাম সে বলে যে এখন হয়ত খাবারটি পাওয়া যাবেনা , আমি রেস্টুরেন্ট যেয়ে আপনাকে জানাচ্ছি, ৩০ মিনিট পর!!! আমি যদি রেসপন্স না করতাম তাহলে তারা কিছু জানায়নি আবার অর্ডার ক্যান্সেল করেনি চুপচাপ বসে আছে সময় নষ্ট করে ! রাইডার এর যেন খাবার নিতে যাওয়ার ইচ্ছা ছিলো না আমি মেসেজ দিয়েছি তাই গেল, আর কখনও ইউজ করার ইচ্ছা নাই , খুবই বাজে সার্ভিসl",Functionality and Recognition,0.26
This app is great,Accessibility,0.29
Uttorate service nai dukhher bepar,Accessibility,0.24
Support System is so bad. They don’t even receive phone call.,Accessibility,0.32
"As a new user, I’m impressed with Proyojon. It’s easy to use, delivers quickly, and offers a fantastic range of restaurants. The app’s efficiency and smooth service exceeded my expectations. Highly recommend!",Accessibility,0.25
This food for vari emmmmmmmmy🥱🥱🥱🥱,Accessibility,0.27
This app is very helpful and blessings for our jhenaidah.,User Experience,0.33
Best food delivery App,Accessibility,0.3
best service 🔥,Accessibility,0.25
Highly Customer oriented!,User Experience,0.33
Very good app. Khub valo service,Accessibility,0.31
Great quality food. Love it,User Experience,0.36
প্রয়োজনে আপনাদের পাশে সবাই ইউজ করুন,Accessibility,0.22
Very nice.keep it Ahead. Very good service. Satisfied. 💓😇Alhamdulillah,User Experience,0.31
Thaa app wass to good❤️‍🩹❤️‍🩹,Independence and Support,0.26
খুব সুন্দর অ্যাপ,Technical Issues,0.24
Everything is fine,Technical Issues,0.27
Food quality is very poor. But there is no action from the authority.,Independence and Support,0.29
অনেক ভালো সার্ভিস । অনেক দ্রুত ডেলিভারি দেই। আর ড্যালিভারি ম্যান দের ব্যাবহার অনেক ভালো। ধন্যবাদ প্রয়োজন কে।,User Experience,0.27
Good food delivery app in Jhenaidah.,User Experience,0.27
সুন্দর সুন্দর অফার পাওয়া যায়! খুবই ভালো,Technical Issues,0.25
Best food delivery service in Jhenaidah 🥰🥰,Functionality and Recognition,0.25
Best food delivery app for jhenaidah,Accessibility,0.29
Best food delivery app in Jhenaidah,Accessibility,0.27
Very good service! Excellent,Technical Issues,0.24
Veryy good apps,Accessibility,0.29
best delivery app,Technical Issues,0.37
Best food delivery app in Jhenaidah,Accessibility,0.27
Awesome experience! I love it. Food & delivery man service is amazing. I will order to proiojon regulatly. Proyojon is amazing..,User Experience,0.26
Very friendly apps❤️‍🩹,User Experience,0.37
best food delivery app,Accessibility,0.3
"I REALLY LIKE THE APPS, IT’S FIENDLY TO USE, and the service is so cool!!",Technical Issues,0.3
"The app is very friendly, very easy to use, it was good!",User Experience,0.3
Awesome Food Delivery App in Jhenaidah. Very easy to use & awesome service. I love it.,User Experience,0.31
