content,is_english
poor delivery service and long waiting time🙂,True
Excellent service.,True
I ordered food from here but they. didn't deliver one item which was 490 taka. Told them to give me the money back. they didn't! and stopped answering my calls and texts!! they should do their business with honesty and stop betraying people like that?!,True
no response on call or text for customer service. keeps waiting for 2-3 hours for a single order wherever the location.,True
Very bad service.,True
worst,True
If you ordered at 12 they would deliver at 4. majority of the food doesn't meet the description,True
Poor Service,True
Very slow delivery service. Their customer care is often unavailable. Very annoying!,True
"too much bad experience, not recommended at all.",True
worst customer service... theres a few good restaurent .. they charge more than 100 taka for delivery still .. they take 2 hours for 40-50 mins delivery then when you recieve the food .. its not something you can eat .. ( the system is even more worst like the restaurents take order nd prepare food then the food waits for rider to pick it up.. if a rider is near bt theres no rider ever near .. so the food wait hours to be picked and delivered) WORST customer service ..,True
"this app is buggy as hell, and now for the past 6 month it doesnt even work.",True
Stupid app stopped working like a year ago for me and still not working.,True
"time management is not good, and they don't reply any of my messages",True
Too much late delivery it tooks almost 2 hourse plus to deliver food and price is very high,True
It takes a minimum of 2 to 3 hours for food to arrive,True
worst customer care. as we order at late night( cause maybe this app started thus) their customer care service should be top notch but most of time i'd to go through a panic. just because they didn't pick up the call. and also the time issue. they should seriously work to minimize delivery time.,True
one word ..... disgusting,True
App is not working Its not opening,True
Disgusting delivery service,True
"Order rejected, they didn't refund the money. Customer service is not picking up the call.",True
Worst service.,True
Very bad app user interface,True
"Worst app and service ever. Bikash doesn't work. When you call them, they will hang up on face.",True
very bad experience,True
Service is horrible. Delivery is always late by more than an hour. Last delivery took 3 hours. The riders also always spill drinks & do not say anything until caught. Food always arrives cold. Customer service just makes excuses & does nothing. Only reason people use this app is 'cause there is no better alternative. All the non Foodpanda apps are equally unprofessional and incompetant.,True
Bad service Takes too much time to deliver Sometimes they gave the order back,True
Good,True
The app is rubbish and its service is the worst.,True
Their delivery usually takes minimum of 1 and a half hr. Also they price gouge. Careful with this one bois,True
Slow service. They are extremely slow. if you want to order they take minimum of 1 hour - 1 hour 30 min,True
"I order food from here. But cancelled it right away as my gate is closed after 12. They said it would take an hour to deliver. And after cancellation, its been 4 days and I still didnt get my money back. They aren't following refund policy. The worst app ever",True
Doesn't work,True
Literally the worst experience. The customer support number is unreachable and the delivery man just switched off his phone. Worst service ever!,True
Bad time maintaining and bad delivery. Delivery time is way to long like about 2/2:30 hours delivery time.,True
No warning it was a Punjabi app.,True
So Expensive.,True
delivery cost is very high,True
It took a little bit long time to delivery.,True
"Gave me the wrong item, and even when I created an issue, they didn't reach me back. All they did is closed the issue without even replying back. Worst customer support, no doubt",True
"Terrible service, scams hungry people during midnight.",True
"So expensive even normal foods. unnecessary, inappropriate, wasteful",True
I just download the app. As far I remember I haven't sign up here. And I find no option to sign up. App is telling me to log in. If I am a registered user then why it cant verify my number 🙄 Customer care number o inactive.,True
"Terrible service. Missed an item, I issued that. no response, after one month they closed the issue without solution or any response. I called back.. finally received my call and gave me the worst response ever. 60tk voucher. LOL""! I did not beg, I Asked for MY refund. Very poooor service. uninstalled and never again, I'll share this, as my late night cravings were disregarded, I won't want others go through thiss! thanks.",True
The app isn't working properly for the past few months. 😭 The menu won't load nor will the website page.,True
Disappointed 😞,True
Doesn't work. Scam of an app,True
Bad service,True
"YOU GUYS ARE THE BEST, ONE OF THE BESTEST APP & SERVICE PROVIDER IN BANGLADESH I HAVE EVER SEEN.... THANK U SO MUCH FOR ALL THE EFFORTS YOU PUT ON FOR ME & FOR US ❤️❤️",True
They are not good they took money from me and and i didn’t get the food very bad,True
It's takes almost 2 hours tk reach food. I ordered at 8:45 and notmw if 10:30 no sign or the rider and not even picking up my call,True
"Customer service shite, doesn't even respond timely, food takes at least, 1 hour 30 mins to deliver, has a bug that won't allow orders to be added to cart",True
"It's a really great app, specially for late night foodies, it actually help us to relive from late night food cravings",True
They'r should be more options for payment. One can only pay by Bkash no other option available. What's if one doesn't have bkash but have Debit Card or Nagad how does he/she order? U should have multiple payment options like other food delivery app's. U may consider adding alternative & more payment option's.,True
LAG,True
"App lags when trying to log in/ Place order , But it works. Need filter based on distance. And BTW where to get promos? Is there any?",True
"Terrible customer service, never get any response whenever I called, they just force us to listen their ringtone than never pick our calls. Delivery service way more poor then thier customers service. Never gets any delivery before 2 hours. Just disgusting.",True
Worst app if you are using it in late night full of Garbage no one even response,True
"Rubbish service. Not one delivery is made before 2hours. Have to contact support everytime for faster delivery. Foods are usually cold to the touch due to late deliveries. Not to forget 5% additional charge over the delivery charge as well. Complete and utter disappointment. And lastly, for a midnight food delivery service their delivery man never ever has change. Always have to pay an extra 20-60tk because there is no way to get change at that hour.",True
"Customer service is terrible. I once called their hotline to inquire about a delivery that was running late and they proceeded to lie to me by saying that the delivery person is waiting outside the restaurant to collect my food. They didn't stop to think that I would definitely call the restaurant, who confirmed that there was no delivery person waiting outside their restaurant. After that, the hotline went totally cold as they stopped answering my calls. They didn't even resolve my complaint.",True
They don't even reply to a customer complaint! GHOST food delivery!,True
Worst App Ever.. They Don't Provide Customer Support for Wrong Delivery...I happened with me Several times.. Very Disappointing,True
Very very low grade food and very late delivery,True
Very bad service and the restaurants totally suck in food quality and quantity.,True
"poor communication, worst service from app",True
Needs to improve. There customer service never responds,True
Is it always this late?,True
Best food delivery service,True
Service is too bad no worker for processing and order confirmation,True
Terrible app doesn't even work i tried to put in my location and it doesn't work.,True
Thank You for saving our cravings!!!,True
Terrible delivery. Food comes in totally damaged and not hearing back after making a complaint,True
There is not written on app it's only for Dhaka not for Karachi. Highly disappointed,True
Very Initiative,True
In one word satisfy,True
Great taste pizza 🍕 😋.,True
third class service,True
Pure scam please stay away. They promote scam restaurants at night where as the quality of the food is hazardous. Please don't waste your money please,True
Don't work in West Bengal or it's just a gimmick 😌,True
Great place,True
Best app ever for people like us who do not sleep or sleep late at night,True
Good service,True
GOOD SERVICE,True
Good,True
Good service,True
Good experience,True
Good service,True
Very good,True
I like it.,True
This is very good app.,True
Nice Service,True
That's Good,True
Superb,True
Poor customer service. Unprofessional behaviour,True
Worst delivery app. Waste of time . They confirmed the delivery after 2 h they cancelled it . They doesn't deserve 1*,True
No response and 3 hours have been passed byt no response to my messages as well as my phone calls too.The delivery of the food which was showing 30-45 mins is still coming to me where I'm hungry all day.,True
"Absolutely horrible service. They don’t deserve to be in the food delivery business. Order confirmed at 0030, delivery guy called at 0230, that too after repeatedly contacting cuatomer support. Didn’t take the order, felt bad, but nothing doing.",True
Just a garbage app The rider collected my food almost 1.5 hpurs before and delivered cold food and the customer care service is too unprofessional,True
Customer service is very bad and if you try to pay online you have face various problems like i probably will lose money currently speaking.,True
"Slow, crash, Most of the time not talking orders.",True
Unprofessionalism at its worst! 😂,True
Good in service but they provide foods late.,True
Lamest food delivery and customer service ever !!,True
Helpful,True
I got twice wrong delivery and service so bad,True
Love it,True
Nothing to say 👎,True
Good,True
Timing is very bad. Food comes after 2/3 hours later. Very disappointing.,True
Don't use it. Too much expensive.,True
Dont use this app. Service is too bad.. And the worst delivery service i ever had in my life. I order at the slot before 3 pm i got my food at 5.20 This is ridiculous and when i tried to complain they put me hold for 15 minutes. Way to bad experience. Please i beg you dont use this app or their service. Horrendous experience,True
Worst service ever. Didnt deliver in due time. Damage food during delivery.,True
Complete fraud beware of them,True
Satisfied with service and price,True
Please avail multiple restaurants in a single order!,True
Very bad service. They won't give delivery to maximum places,True
Good,True
"This is the 3rd and last time I used this app. The first time, I received my food after 2.5 hours. Though it was a one-time mistake so order a 2nd time. Got the food in an hour. Tonight, even though the app showed 29-34 mins, it has been 1.5 hours. No food.",True
Delivery time is worst. It takes 1:30 hour+ time to deliver the order. Worst service ever seen,True
Best platform for night cravings. Thanks to deliver my food faster at midnight.,True
Good,True
Horrible Service!,True
Can't logged in through otp. They offers late night service but when you will try to login for purchasing something you need that time you can't do it. So poor service!!,True
Worst app n worst service hate it just wasted my money,True
will not even let me login with my phone number its stuck in bangladesh +88,True
After selecting location still shows all the restaurant. How would I know which one are available in my area. Fix it soon,True
Poor service,True
Absolutely horrible. There is no update of my order. I have already paid through bkash. There is no way to contact the delivery man or the customer service.,True
Poor,True
I ordered food and the payment was in paid in online. Didn't get my food and the customer service was not replying or receiving any call. Such baad service.,True
Good service.,True
Very much initiative.,True
Amazing,True
"HORRIBLE! Got SCAMMED by restaurants on their platform, nothing was done even after complaining and explaining. Took my money through lies.",True
The app doesn't work properly. It doesn't even have updates.,True
"Poorly developed. The ""Confirm Address"" button does not work if I have not set the location from the map. There is a field for inputting the address, but it is not functioning as an input field. Instead, it is acting as a field for viewing the address on the map. Unfortunately, setting the location from the map does not provide the correct address, and I cannot even set it to the correct one. I have just wasted my time.",True
Service was super but app is so bad. Can't enter.,True
Not open.. Just loading..,True
"I tried to order several times from this app but failed. Everytime it says that the restaurant I chose does not deliver to my area. However, every restaurant I have picked says that they deliver all over Dhaka using Munchies. I even called the restaurants directly and asked them. They said I should call the Munchies Helpline and order directly there if the app isn't working. But no one picks up the call at the helpline. What's the point of a delivery app if I can't even order?!",True
takes too much time. and expensive also,True
"The UI ain't so bad but the ""experience"" is terrible. There a lot of problea with the app which can found by just browsing a little. You need work more, really more on the app. Though gotta say, it's fast at least faster than the website. Smoother, faster payment, works quite nicely for emm... just order and leave?! Yeah. Welp that's all most people need sooo... Good. But please work on the app.",True
"Worst delivery app, shows 30 min delivers after 1 hour. Service so bad that they couldn't even provide me my order correctly. I wish i could give 0 star",True
Helpful 😊😊,True
Unfortunately this app does not work. It cannot load anything after it asks for your location at the beginning.,True
top-notch application specifically for the 24/7 service... 👌,True
"Weird, weak ordered for the second time, they be like refused to do. Not promising",True
A blessing for the cravings,True
Slow service,True
"If a restaurant is not delivering in my area, WHY SHOW IT?? BOGUS APP.",True
"For mid night delivery, it’s perfect. But after submit the order, no one can contact to munchies or delivery man unless they contact us. It's the worse idea I've ever seen. Even if we call the munchies number which is listed, no one ever picked up my call.",True
nice,True
"keeping in mind that the app and service launched a few weeks ago, the service itself is decent. but the delivery time from making ur food to delivering it is a bit time consuming than ur average food delivery services but is good enough. the app lacks in a few fundamental things. u cant see any information about ur deliverer, their contact no, where they are. absolutely nothing except an estimation of ur delivery time. i hope to see those fundamental things added in the near future.",True
More area need to cover I can't order because restaurants dont allow order from Aftabnagar,True
"After putting referral code several time , it show invalid",True
I've ordered couple of time and I got delivery with in 35 min. Also love their 18+ ptoducts. Best of luck munchies.,True
"Awesome experience. Night Time Delivery. Really appreciated. Also all the rider salute you. Cuz you not only deliver our food. You also keep risk, of your bike & life. Thank you ❤️ All team to munchies ❤️",True
I'm trying to sign up for the account and when I give my Gmail it says invalid I legit tried all the Gmail accounts I have all of them say invalid!,True
Exceptional,True
Very user friendly app. Very responsive also.,True
Unnecessary notification throughout entire day. Had to uninstall!,True
Expensive fake price They give fake double price everything,True
Laggy as hell. It doesn't respond to touch and is extremely slow to respond,True
Need To Add Describe Option / Location Base Select option That Restaurants Doesn’t Provided Food in Specific Arears At Midnight /Late Night/ Doesn’t Take Order From This Area. Its iterating 😐😐,True
Not working properly.. stucked in location section,True
Excellent service,True
Service is good.,True
Very fast delivery.,True
Great innovative solutions for late night food craving.,True
Fast delivery & satisfactory User experience,True
Very good,True
Very good service 😍,True
Good quality food product delivery service by home.,True
It's very good service for food lover,True
Great delivery service.,True
Ok,True
really satisfied with the service keep it up,True
This app is only for Bangladesh and it is fake waste of time and data,True
Delivery system and customer service is awful. They should change their behaviour towards customer. Took more than 2 hours to deliver while showing 54 minutes.,True
Very poor delivery service..,True
"Everything Seems good but delivery time too long, food gets cold & User Registration takes time ..",True
"Apps doesn't work, crashes all the time. Connection error and their food service is not good at all. In my first order it tool almost 1 and half hour but it was given 67 minutes max. The food was also wrong,Resturant send me a botol of water instead of cold drinks.",True
No use of complaining. In Bangladesh business goes on. Thank you for giving us a terrible experience.,True
Their service was quite good. I'd recommend it.,True
Food delivery is too expensive and takes too long,True
"They need to work on their app real bad. I see discounts like 'any pizza on Fat Boy Pies for 600 taka' but I cannot see any option to choose that in their app. And whenever there is a discount the original price gets slashed and sicounted price is shown but whenever I add that specific item, the original price gets added not the discounted price. VERY VERY BAD UX. No matter how good the UI looks, if it cannot meet its main purpose, it has failed.",True
Good quality food,True
Although the interface is pretty cool the app itself is glitchy. The customer service is terrible. Orders are never delivered on time. Expect atleast over two and half hours of waiting period after placing your order which doesn't add up since they operate when streets of Dhaka are mostly empty.,True
good,True
"I get that you guys are new but the charges that you are imposing are ridiculous. You are imposing 80tk for delivery charge that's fine, you are also increasing the product price (chips, drinks etc) by 10/15 taka, which I can get behind since you are new but WHY WOULD U ADD 15 TAKA VAT ON PRINGLES LIKE WTFFF. WHAT IS THIS VAT FOR AND HOW ARE YOU STILL IN BUSINESS. Somebody sue them. Not going to recommend you.",True
App does not show the right time remaining and also I got the wrong items delivered for double the price. What a horrible first experience. Not trying them out again.,True
