content,is_english
I am trying to install but fail several times,True
"I ordered Small Meatball Pizza from Proyojon Kushtia app. 😍 💥 Today’s offer was Buy 1 Get 1 Free — totally worth it! 🥳 ✅ Quality: Excellent 🔝 ✅ Delivery: On time ⏰ ✅ Rider behavior: Super friendly 💯 The pizza was fresh, delicious, and just perfect! 😋 Highly recommend! 👍",True
"Awesome app, I love it.",True
better than foodpanda😊,True
"This is a very helpful app. I get very fast food delivery through this app. In a word, it is very good.",True
most Effective app in this sector,True
This app is so good... very easy and fast to get food.. best food delivery app in Jhenaidah,True
very good service 😊,True
Limited area availability. It sucks 👎.,True
Nice,True
Support System is so bad. They don’t even receive phone call.,True
This food for vari emmmmmmmmy🥱🥱🥱🥱,True
best service 🔥,True
Great quality food. Love it,True
Very nice.keep it Ahead. Very good service. Satisfied. 💓😇Alhamdulillah,True
Nice,True
Everything is fine,True
Food quality is very poor. But there is no action from the authority.,True
Best food delivery service in Jhenaidah 🥰🥰,True
Very good service! Excellent,True
Awesome experience! I love it. Food & delivery man service is amazing. I will order to proiojon regulatly. Proyojon is amazing..,True
Very friendly apps❤️‍🩹,True
"I REALLY LIKE THE APPS, IT’S FIENDLY TO USE, and the service is so cool!!",True
"The app is very friendly, very easy to use, it was good!",True
Awesome Food Delivery App in Jhenaidah. Very easy to use & awesome service. I love it.,True
