content,is_english
"Worst experience, this app interface isn't user friendly.",True
it's not good,True
complete scam 😡,True
"On a 'cash on delivery', a guy from their office called on WhatsApp, pretending to be a rider, asked for an advance in his personal Bkash account, and then started talking garbage.",True
terrible app. Not a single restaurant is open inside the app. meanwhile other food delivery apps said they are open.,True
fraud,True
"it asked for otp to login, I added my number but I never receive any otp. I tried two times and then it keeps showing something went error!",True
Very bad,True
The rider asked me for money in advance in his personal bkash account. what type of delivery app is this. either don take cash on delivery orders or stop this nonsense. Complete garbage of an app,True
"no customer care service.Delay delivery, i payment advance but cannot get same amount food.Very horrible.",True
This app is a total scam. They will consume 50-80 minutes to deliver a food. Service is really poor. They have a fixed delivery man for a region. The delivery man collects food from a lot of restaurants and deliver to multiple customers and so the food is super delayed. Their management also does not take any action on any complaints. They are so unprofessional.,True
can't even log in this trash app,True
Order delivers at late. I had to wait almost 1 hour more than the time it had mentioned.,True
Takes too much time to deliver the food,True
"not recommended, very poor service.",True
so bad 👎,True
Even after trying for several times I still haven't get any OTP so that I can log in,True
your cart sometimes says empty I miss out on a lot of offers because of it please fix it asap.,True
The worst food app ever.,True
worst app ever. Riders are worst. do not deliver food on time. Just worst. I do not recommend anyone to order food from here.,True
"Used to be good. Now they cancel orders without notifying, even from restaurants that are within walking distance",True
it takes literally 2 hours to deliver any kind of food and there is no option to check rider's location,True
Worst food app and discount policy in Bangladesh.. Trying 10 times for OTP...No Reply... Discount policy is a scam.. Other new apps are doing far better job in this sector..Don't download this app..,True
This app is so bad I ordered something and I paid early with my card but nvr received my food I clearly paid but they told me I haven't paid yet it took my money and nvr gave me my food if I could I would rated it in minus,True
Very much Delay. I ordered multiple times & each time they completed the delivery after e long time. Their riders do not pay attention to anything. They do not take any suggestions. Rubbish service.,True
"Worst Delivery service ever..I ordered, Also did advanced payment then waited for 1 .5 hour....it showed my order is prepared and after 1 hour they cancelled it... Don't order using this scam app..Poor service",True
"One of the worst services i have experienced. They show bill before order, but the bill changes after confirming the order. Also don't have the option to cancel the order.",True
Very bad service. Delivered food too much late.,True
Worst experience ever. Never gonna order from them again 🤬,True
Worst service ever. I've been waiting for 3 hours still no response,True
Don’t waste time installing this. It's 10 am and all the restaurants are closed.,True
Very slow app n not very user friendly. Items are very small n difficult to see,True
Didn't like the new update,True
They informed me that the food is not available after 1 hour of ordering the food!,True
"One of the most bad app I ever install in my phone this app didn't support COD,bikash or card when other app provide all of this feature",True
"Never order from this app. They are fraudulent and unprofessional. They cancel orders without delivering them, claiming the customer is unreachable after just giving a missed call👎👎",True
Cannot give service at my area.lol,True
Service was very worst. Cancelled order without any notice,True
They took the order from the app then called from phone and said they cannot deliver. Why did I waste my time on this even! Moreover they have online payments. Wow never ordering again,True
Very slow. Popular restaurants not available.,True
Literally bad. I've ordered a meal and 15 minutes gone- no update or something on the order if it's accepted or not. They don't have any cancel option either. I had to manually call the call center and cancel the order. Bad service.,True
Worst service ever.Dont order anything from here.,True
Worst experience ever.,True
Don't have coverage in Bashundara area still the ads are coming everywhere and they showing the ads with location. After signing up they saying my area is not under coverage. Disappointing.,True
Worst food service and management system in town.,True
Poor App..too much slow delivery,True
"As soon as you enter this app, it asks for location access. Even after giving that access, you have to manually select the location while confirming the order. Though we have to manually select the location, why does it want location access at the beginning? It's a very suspicious matter.",True
Waiting for almost 1 and half hours for the food. Absolutely ridiculous!!!!,True
This is so much irritating when a notification comes and it's vibrate! Please remove this vibrate option or give a setting option where user can manually choose that they want this vibrate option or not!!,True
Worst App. They don't know how to do business. Don't waste your time installing this app.,True
"Delivery people are the most lazinest, few restaurants, no options to complain about bad food.",True
fraud.,True
it doesn't even show any food... it's a scam app. don't install it,True
What the f$$* is this,True
"First of all Their promo code are too much nonsense ..Too much delivery charge, Which is very disappointed Also take too much time to delivered good",True
"Regrettably, we do not have any restaurant in Bhola. Please solve this",True
Totally disgusting,True
WORST SERVICE EVER. SCAM OFFERS.,True
I gave the order...the distance from the resturant is around a 15 min walk...But the order took me around 1 hour to get. 20 mins after ordering my rider contacts me and asks me if my order confirm? Then after around 40 mins I get my order. All these and a 50 tk service charge Not recommended Foodpanda is better,True
Horrible experience,True
Delivery time is too much delayed. Please improve this.,True
So bad,True
Absolutely rubbish. Very unprofessional delivery man & customer service. Also lot of issues with app. Will never use this again.,True
"very poor servese, not available for all area",True
Why my address is unavailable? It is 22 no ward in Dhaka,True
🤣🤣🤣🤣 bro street food also having online apps now... Create restaurant all over the country first. Then think about this app. You don't have any service in maximum places in the country. Who do you think will download the app?? Stupid.,True
"Horrible service, i got my delivery after 2 hours. Fake promotions as well 😑😑😑",True
"Food delivery was late more then 1.5 hours!! In the app, the rider is showing the food is already delivered. N customer care doesn't pick the calls!!",True
"Never come to any use, totally a useless scattered app.",True
They are not what the say. I installed the app and looked for offers. But they don’t have it. Just hoax.,True
"I placed my order before lunch, but no rider picked it up. About two hours later, a rider was assigned. I called him around 10 times, but he didn't answer. In the evening, around four hours later, the rider canceled, citing ""Customer wants to cancel"" as the reason. Meanwhile, I tried to contact customer care, but they showed no remorse, stating that the delay was expected due to rush hour.",True
Distance is less than a kilometre but they can't deliver 🤣🤣,True
Don't install this app because they will deceive you.,True
Fake marketing... Totally useless. Only GUI is good.,True
Worst food delivery app I ever used. Delivery man called me 2.5 hours later to deliver my parcel.,True
Scam and fraud.,True
worst food delivery app ever. Don't ever use it.I said Just don't,True
Bad Delivery Service! I ordered at 12.27 PM got it on 4 PM 😔,True
One of the worst service i have ever had. Big dislike,True
"Unimaginably bad service. They promised a 50% discount on Sultan Dine and did a heavy amount of promotion, but when the time came, the promo codes were totally useless. I still prefer Foodpanda cause they are better with their service even though they offer relatively less discounts. Leaving this app, and never coming back again",True
"I don't find any good restaurant in this app like bfc, they need to improve a lot",True
