content,is_english
Worst experience?,True
"Sorry to say highly disappointed about their working process. Needs to be update more.Though food quality is good,no one taste before order. Service quality is very poor,connection is also not helpful.",True
"Worst app ever, In the app, it showed that the delivery charge was free, but they called me and said the delivery charge would be 80 Tk. Why should I pay twice? If you can’t calculate the delivery charge correctly in the app, why did you even add that feature?",True
very bad,True
Nothing is available except kacchi.,True
Some Items can't be added to the cart even after trying for a long time! Sukcs,True
poor,True
"super slow, delay delivery, high delivery charge",True
very bad apps😡😡😡😡,True
"scamer, they did not add delivery cost, then they charge extra money.",True
it is contiuously shown that something was wrong. try later,True
"This 1 stars are for the local branch for calling and confirming the delay so that I was able to cancel the order. Worst experience ever. The app is barely alive. The customer support is worse, they didn't even ask my order id, just asked me if I got some kind of code starting with 3 or 9 whatever in my mail or not. I didn't even enter my mail address in the app. Develop a better app or just take it down.",True
Doesn't work well.,True
worst customer service ever.,True
This is a very bad situation. They kept having problems with my order. This is very stupid.👎👎,True
app not opening on Android 15,True
doesn't even open,True
Apps crashes every time when I try to open it,True
Horrible customer service,True
App not opening. Please kindly fix the bug,True
Very ridiculous app. It doesn't open & crash every time,True
"The last order experience is very, very bad. Very bad condition of app, as like as delivery service of sultan dine. Waste of time, waste of money. No class condition.",True
The application is not launching and instead is unexpectedly closing. Despite the fact that I am using the most recent Samsung S24.,True
App stopped. Unable to start,True
very very very bad.. totally unexpected service and behavior.,True
Worst app ever. I have to wait an hour to confirm the order. There is no cancel button for the order. You need to improve this app.,True
Takes too much time to accept orders and to give delivery,True
Too bad experience. 80 tk delivery charge its huge for Only 1 km. Its time 1 hourse + Be careful everyone,True
Third class app with third class developer.,True
Never ever order from this app. Pure harassment. Didn’t get the order even after 2 hours waiting. Finally cancelled the order by calling.,True
I have to say this is the worst delivery app. The developer should seek manual labour instead of app development.,True
Forgot my password.Tried many times to recover but they donot send OTP.Tried with their website also but Every time I reload the site their offer comes to screen which is very irritating....,True
"Does not send verification code, tried multiple times",True
Worst,True
Poor System,True
Poor system,True
If your delivery range is what FoodPanda and other apps then why the hell I need to install your disgusting app? 😑,True
Worst,True
Disgusting,True
Worst experience,True
Very bad app...not good at all,True
Poor app... Do not have any option to cancel.. Doesn't give any update on food or delivery man,True
This app is to dumb,True
Worst,True
They provided very bad food.,True
"It's been 3 hours since I have placed an order,didn’t yet accept.If they serve my lunch tomorrow,that doesn’t make sense🙄🙄.The whole app thing is a joke.🙄🙄",True
"This app really unorganized and doesn't work properly,it doesn't give you any updates on your order,when it's going to arrive or if it's even prepared or not, Definitely needs improvement!",True
Worst experience. Waited 30 minutes but no one even accepted the order. It seems they don't care. 👎,True
The worst app ever. Don't know what who developed it but they need to get back and fix this. Doesn't even send OTP. Says server not responding. Fix your servers then.,True
Very very poor service. No one takes care of the order. Waited two hour after placing order and didn't get the food.,True
Third class apps in all over the world,True
I was never able to order through this app,True
"I ordered from the app, restaurant called to confirm the order after 14 minutes and the order was delivered after 50 minutes. Don't know if there is a map functionality for the delivery man as I needed to manually instruct the delivery man to our house. It would be better to provide map functionality if there is not any and train them to use it.",True
very very poor app....they don't receive any order...too many bugs... network issues which they don't even solve....very bad experience,True
Could not open the app,True
The worst app with worse experience.there delivery system is so trash . The rider even don't know my address where he is delivering the product. He call me me and ask my address.is this what delivery service mean how funny. There food is also cold . Totally disappointed with there delivery. I ordered the food at 2:00 pm and found the food at 4:30 pm . No recommend,True
The food is good... But the app is horrible.,True
Poor,True
Very bad service and late delivery,True
"App doesn't work properly. Moreover, this app can't track the current location of the delivery man.",True
This Apps really disappointing waste your time,True
Horrible experience.,True
Every time ist show poor sever connectivity.,True
Worst app I have ever seen.. I didn't even get a chance to sign up. I tried several times but failed. What a miserable app it is..total waste of time,True
Fu**** up app. Can't sign in...,True
bad experience,True
Worst Experience,True
Location issue,True
"There's bad thn worse then there's sultan dine's app service. Absolute trash. Placed order at 11:30,was granted at 12:18 and said that the order will be delivered by 1:30. But the delivery wasn't on time. So I called them at 2:00 and they didn't pick up the phone and then the number was off. Then the app showed that my food is ready and the delivery is on its way and provided me the number of the delivery man. After 10 mins I contacted the delivery boy and he said me the food wasn't ready yet.",True
"Terrible app, terrible customer service, no option for help or contacting them, the restaurant provided with 4 awful pieces of meat which only contained bones, and I couldn't complain anywhere. Also the food came cold and arrived almost 2 Hours late. Never ordering from Sultan's Dine again.",True
Disgusting,True
They provide dogs meats by telling us cow. cheater in business.,True
They serve dog meat 🤮🤮,True
worst service ever,True
They serve doggy's meat in their kacci. Dont eat their kacci,True
Very very bad service. The give cat /dog meet to eat.🤢🤢,True
