Model,Embedding,Accuracy,Precision,Recall,F1
Random Forest,MPNet,88.05460750853243,87.80912465447346,88.05460750853243,85.21635144456273
XGBoost,MPNet,89.24914675767917,88.00441678377837,89.24914675767917,87.65642775881683
Logistic Regression,MPNet,89.76109215017065,88.96915320450027,89.76109215017065,89.26781035887919
SVM,MPNet,89.93174061433447,88.59817481803559,89.93174061433447,88.65155583819528
Naive Bayes,MPNet,82.25255972696246,82.72720396143336,82.25255972696246,81.98078247091921
Decision Tree,MPNet,80.3754266211604,80.1171899120676,80.3754266211604,80.21429057152731
Gradient Boosting,MPNet,88.73720136518772,87.76454340531485,88.73720136518772,87.27887686051132
AdaBoost,MPNet,86.68941979522185,82.69477333719838,86.68941979522185,83.29255091696555
LightGBM,MPNet,89.76109215017065,89.2260201560543,89.76109215017065,88.42699997960278
CatBoost,MPNet,88.56655290102388,87.82612453172527,88.56655290102388,86.1098280660434
Random Forest,all-MiniLM-L6,86.68941979522185,87.16393335458996,86.68941979522185,83.93066361031264
XGBoost,all-MiniLM-L6,86.86006825938567,86.03963920833347,86.86006825938567,85.20720303686929
Logistic Regression,all-MiniLM-L6,88.90784982935153,88.41795685622145,88.90784982935153,88.53672296126874
SVM,all-MiniLM-L6,89.59044368600682,88.81896464015836,89.59044368600682,88.36494318219661
Naive Bayes,all-MiniLM-L6,77.81569965870307,72.92017680022647,77.81569965870307,74.23434954762958
Decision Tree,all-MiniLM-L6,76.45051194539249,76.63968202381707,76.45051194539249,76.35025655503472
Gradient Boosting,all-MiniLM-L6,87.03071672354949,86.33580499298348,87.03071672354949,85.2286326451526
AdaBoost,all-MiniLM-L6,84.47098976109216,83.464677016721,84.47098976109216,81.57251333027011
LightGBM,all-MiniLM-L6,88.90784982935153,87.86093804657142,88.90784982935153,87.16564063358433
CatBoost,all-MiniLM-L6,88.05460750853243,87.97259683886145,88.05460750853243,85.2310807418742
